# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 260         5.180       52.100      1.90        De Bilt     ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
260,19840101,90,85,149
260,19840102,76,239,114
260,19840103,59,357,151
260,19840104,38,198,36
260,19840105,32,183,31
260,19840106,49,109,1
260,19840107,57,263,109
260,19840108,40,149,45
260,19840109,30,339,3
260,19840110,27,181,-1
260,19840111,69,37,25
260,19840112,44,244,46
260,19840113,64,53,96
260,19840114,56,152,59
260,19840115,31,224,20
260,19840116,55,179,134
260,19840117,55,204,3
260,19840118,33,247,1
260,19840119,-1,160,12
260,19840120,4,499,-1
260,19840121,-20,392,0
260,19840122,-30,148,23
260,19840123,-22,139,104
260,19840124,13,196,34
260,19840125,3,487,-1
260,19840126,5,131,1
260,19840127,35,375,-1
260,19840128,43,35,44
260,19840129,46,70,57
260,19840130,43,236,14
260,19840131,41,511,20
260,19840201,24,222,32
260,19840202,56,141,61
260,19840203,58,42,66
260,19840204,60,247,21
260,19840205,58,479,69
260,19840206,69,153,205
260,19840207,49,292,6
260,19840208,44,322,166
260,19840209,39,764,17
260,19840210,49,514,-1
260,19840211,60,449,4
260,19840212,17,814,0
260,19840213,8,842,0
260,19840214,-9,605,0
260,19840215,-24,390,0
260,19840216,-32,673,0
260,19840217,-37,444,-1
260,19840218,-22,779,0
260,19840219,-21,748,0
260,19840220,-10,716,0
260,19840221,38,472,29
260,19840222,29,301,1
260,19840223,2,181,0
260,19840224,7,503,-1
260,19840225,5,208,-1
260,19840226,15,140,3
260,19840227,16,85,-1
260,19840228,23,512,0
260,19840229,2,713,0
260,19840301,15,304,19
260,19840302,37,426,101
260,19840303,28,720,1
260,19840304,17,1062,0
260,19840305,51,287,3
260,19840306,62,241,-1
260,19840307,54,922,-1
260,19840308,28,1323,-1
260,19840309,12,1280,-1
260,19840310,16,213,78
260,19840311,45,146,14
260,19840312,44,1172,-1
260,19840313,28,562,-1
260,19840314,35,1181,0
260,19840315,36,1251,0
260,19840316,22,940,0
260,19840317,24,1117,0
260,19840318,24,1253,0
260,19840319,31,1176,0
260,19840320,29,1332,0
260,19840321,29,1322,0
260,19840322,27,1227,0
260,19840323,42,1047,-1
260,19840324,64,324,21
260,19840325,71,1034,8
260,19840326,69,344,29
260,19840327,72,593,143
260,19840328,82,750,98
260,19840329,53,478,21
260,19840330,46,1203,40
260,19840331,36,808,1
260,19840401,23,1481,0
260,19840402,29,1172,-1
260,19840403,25,590,-1
260,19840404,36,489,2
260,19840405,32,174,56
260,19840406,48,572,1
260,19840407,47,371,3
260,19840408,46,513,-1
260,19840409,54,849,2
260,19840410,50,797,-1
260,19840411,62,1362,26
260,19840412,63,1642,15
260,19840413,64,1543,0
260,19840414,95,1938,0
260,19840415,100,944,5
260,19840416,61,1517,0
260,19840417,59,2148,0
260,19840418,66,1358,0
260,19840419,97,1429,0
260,19840420,114,1558,0
260,19840421,134,1982,0
260,19840422,137,1534,0
260,19840423,109,2376,0
260,19840424,139,2253,0
260,19840425,142,2250,0
260,19840426,121,2224,0
260,19840427,102,2442,0
260,19840428,95,2368,0
260,19840429,92,2362,0
260,19840430,114,1825,-1
260,19840501,92,641,11
260,19840502,101,1148,-1
260,19840503,112,1374,18
260,19840504,114,1212,4
260,19840505,118,1479,0
260,19840506,87,457,81
260,19840507,77,1741,1
260,19840508,77,1932,1
260,19840509,68,1036,33
260,19840510,68,664,-1
260,19840511,77,1457,-1
260,19840512,92,2131,0
260,19840513,110,1454,0
260,19840514,124,2092,-1
260,19840515,124,884,-1
260,19840516,128,1771,-1
260,19840517,105,374,43
260,19840518,116,1849,-1
260,19840519,108,2462,-1
260,19840520,113,1073,96
260,19840521,98,292,300
260,19840522,111,1014,49
260,19840523,99,719,46
260,19840524,121,1467,19
260,19840525,95,427,-1
260,19840526,114,1065,-1
260,19840527,118,789,29
260,19840528,112,851,-1
260,19840529,112,299,63
260,19840530,138,1228,-1
260,19840531,145,2541,0
260,19840601,133,1579,32
260,19840602,146,2021,-1
260,19840603,142,848,62
260,19840604,105,477,218
260,19840605,119,1395,7
260,19840606,122,1332,12
260,19840607,118,273,35
260,19840608,117,803,-1
260,19840609,123,2495,-1
260,19840610,139,2105,0
260,19840611,128,1977,0
260,19840612,143,2246,0
260,19840613,151,691,-1
260,19840614,136,1108,46
260,19840615,128,1714,0
260,19840616,129,2144,0
260,19840617,150,1882,-1
260,19840618,169,2275,0
260,19840619,188,2092,0
260,19840620,211,2349,0
260,19840621,164,2403,0
260,19840622,141,747,58
260,19840623,124,2024,10
260,19840624,118,1438,8
260,19840625,133,793,46
260,19840626,151,2353,0
260,19840627,153,1629,-1
260,19840628,121,1783,-1
260,19840629,117,1685,35
260,19840630,109,1622,7
260,19840701,124,2234,0
260,19840702,124,1178,18
260,19840703,116,923,20
260,19840704,124,807,3
260,19840705,137,1927,0
260,19840706,134,1830,0
260,19840707,173,2522,0
260,19840708,216,2741,0
260,19840709,214,2149,125
260,19840710,178,1438,167
260,19840711,176,1148,96
260,19840712,177,1961,-1
260,19840713,167,1680,16
260,19840714,147,782,60
260,19840715,136,768,105
260,19840716,140,1330,44
260,19840717,142,1239,-1
260,19840718,157,854,14
260,19840719,146,1016,-1
260,19840720,144,713,-1
260,19840721,149,1206,-1
260,19840722,144,2235,0
260,19840723,149,1619,-1
260,19840724,152,2632,0
260,19840725,142,1330,-1
260,19840726,147,1033,4
260,19840727,160,1239,2
260,19840728,162,581,5
260,19840729,189,2257,0
260,19840730,242,2315,0
260,19840731,219,1694,8
260,19840801,180,1733,1
260,19840802,157,629,21
260,19840803,178,1129,1
260,19840804,181,2021,0
260,19840805,164,1136,13
260,19840806,154,1930,-1
260,19840807,156,1403,-1
260,19840808,169,1171,17
260,19840809,174,1983,0
260,19840810,160,1351,0
260,19840811,158,1169,-1
260,19840812,189,1965,-1
260,19840813,190,1610,-1
260,19840814,176,1925,0
260,19840815,160,1423,0
260,19840816,174,1735,0
260,19840817,167,2017,0
260,19840818,172,1820,0
260,19840819,204,1866,0
260,19840820,209,1865,0
260,19840821,212,1809,0
260,19840822,225,2019,0
260,19840823,225,1730,0
260,19840824,227,1774,0
260,19840825,205,1616,0
260,19840826,180,1380,0
260,19840827,152,1580,0
260,19840828,174,1576,0
260,19840829,172,635,9
260,19840830,188,760,-1
260,19840831,185,577,3
260,19840901,186,908,-1
260,19840902,191,1792,-1
260,19840903,197,1056,4
260,19840904,152,699,11
260,19840905,118,1305,4
260,19840906,129,1086,0
260,19840907,116,185,183
260,19840908,126,812,9
260,19840909,138,530,185
260,19840910,132,555,137
260,19840911,137,506,31
260,19840912,139,805,-1
260,19840913,153,880,0
260,19840914,162,458,21
260,19840915,154,233,61
260,19840916,153,547,-1
260,19840917,135,765,89
260,19840918,141,851,-1
260,19840919,138,509,-1
260,19840920,133,424,94
260,19840921,115,863,89
260,19840922,97,603,31
260,19840923,100,937,64
260,19840924,88,542,38
260,19840925,100,267,179
260,19840926,116,845,116
260,19840927,118,888,0
260,19840928,123,943,0
260,19840929,142,824,76
260,19840930,128,323,35
260,19841001,123,227,93
260,19841002,113,837,27
260,19841003,104,1016,-1
260,19841004,105,1199,0
260,19841005,102,120,119
260,19841006,113,608,22
260,19841007,109,580,22
260,19841008,127,171,7
260,19841009,139,304,56
260,19841010,135,208,26
260,19841011,130,1027,7
260,19841012,117,639,-1
260,19841013,128,608,0
260,19841014,137,446,-1
260,19841015,139,330,-1
260,19841016,135,289,0
260,19841017,119,575,-1
260,19841018,121,174,46
260,19841019,116,445,145
260,19841020,113,583,29
260,19841021,98,544,-1
260,19841022,115,76,128
260,19841023,126,318,88
260,19841024,113,749,55
260,19841025,133,638,97
260,19841026,100,789,-1
260,19841027,66,818,0
260,19841028,83,478,-1
260,19841029,128,146,31
260,19841030,135,760,0
260,19841031,103,730,0
260,19841101,120,709,0
260,19841102,107,751,0
260,19841103,88,348,-1
260,19841104,71,520,-1
260,19841105,60,576,3
260,19841106,91,123,12
260,19841107,85,130,24
260,19841108,107,294,-1
260,19841109,125,286,0
260,19841110,107,441,-1
260,19841111,105,398,-1
260,19841112,89,531,0
260,19841113,76,312,0
260,19841114,71,359,0
260,19841115,41,159,31
260,19841116,32,189,27
260,19841117,22,122,40
260,19841118,55,156,27
260,19841119,65,281,-1
260,19841120,73,375,6
260,19841121,86,294,108
260,19841122,112,95,179
260,19841123,114,187,134
260,19841124,108,289,12
260,19841125,85,292,6
260,19841126,62,448,-1
260,19841127,54,264,-1
260,19841128,70,62,6
260,19841129,87,197,0
260,19841130,84,353,0
260,19841201,70,411,0
260,19841202,40,267,-1
260,19841203,40,412,0
260,19841204,44,324,-1
260,19841205,72,252,-1
260,19841206,46,80,14
260,19841207,19,227,0
260,19841208,35,62,-1
260,19841209,63,367,13
260,19841210,71,247,-1
260,19841211,62,85,0
260,19841212,60,175,0
260,19841213,47,349,0
260,19841214,53,126,3
260,19841215,35,136,7
260,19841216,36,173,8
260,19841217,49,109,42
260,19841218,36,161,1
260,19841219,54,42,13
260,19841220,87,45,76
260,19841221,64,321,17
260,19841222,36,274,-1
260,19841223,44,95,14
260,19841224,48,71,38
260,19841225,43,303,11
260,19841226,31,134,22
260,19841227,24,142,0
260,19841228,10,198,-1
260,19841229,8,318,-1
260,19841230,-2,118,0
260,19841231,16,35,23
260,19850101,36,89,59
260,19850102,-6,224,-1
260,19850103,-8,199,10
260,19850104,-71,302,-1
260,19850105,-99,471,0
260,19850106,-76,135,12
260,19850107,-118,465,0
260,19850108,-97,260,4
260,19850109,-41,87,14
260,19850110,-67,134,7
260,19850111,-43,215,-1
260,19850112,-18,243,5
260,19850113,-88,438,0
260,19850114,-77,250,-1
260,19850115,-101,282,-1
260,19850116,-95,191,0
260,19850117,-70,231,5
260,19850118,-89,369,0
260,19850119,-66,153,0
260,19850120,-61,98,0
260,19850121,16,153,35
260,19850122,40,134,60
260,19850123,11,335,1
260,19850124,14,365,59
260,19850125,38,79,21
260,19850126,10,134,30
260,19850127,-5,722,-1
260,19850128,4,467,-1
260,19850129,45,208,35
260,19850130,65,549,24
260,19850131,72,150,19
260,19850201,88,246,10
260,19850202,73,528,-1
260,19850203,36,653,-1
260,19850204,33,616,0
260,19850205,21,689,0
260,19850206,11,284,-1
260,19850207,-6,741,0
260,19850208,-15,223,1
260,19850209,-41,390,-1
260,19850210,-67,883,-1
260,19850211,-69,909,0
260,19850212,-72,895,0
260,19850213,-60,858,0
260,19850214,-55,820,-1
260,19850215,-60,1007,0
260,19850216,-27,736,0
260,19850217,-18,451,0
260,19850218,-55,1029,0
260,19850219,-64,1089,0
260,19850220,-22,321,0
260,19850221,14,290,3
260,19850222,14,201,1
260,19850223,20,320,4
260,19850224,35,964,0
260,19850225,55,792,0
260,19850226,37,650,0
260,19850227,13,274,-1
260,19850228,13,184,-1
260,19850301,22,333,20
260,19850302,46,250,2
260,19850303,63,604,11
260,19850304,69,233,50
260,19850305,44,834,0
260,19850306,21,600,-1
260,19850307,23,385,0
260,19850308,50,568,-1
260,19850309,43,456,-1
260,19850310,41,1021,23
260,19850311,42,1080,1
260,19850312,26,1174,0
260,19850313,15,574,19
260,19850314,34,837,2
260,19850315,15,953,41
260,19850316,17,895,0
260,19850317,9,1061,0
260,19850318,8,1283,0
260,19850319,-7,467,4
260,19850320,4,411,14
260,19850321,43,1414,-1
260,19850322,68,941,-1
260,19850323,57,403,10
260,19850324,59,619,18
260,19850325,68,750,17
260,19850326,66,481,76
260,19850327,43,816,-1
260,19850328,37,893,5
260,19850329,66,499,1
260,19850330,93,217,36
260,19850331,101,741,86
260,19850401,131,671,68
260,19850402,103,922,40
260,19850403,143,1178,-1
260,19850404,154,1536,0
260,19850405,124,309,20
260,19850406,106,1251,69
260,19850407,95,737,47
260,19850408,101,843,3
260,19850409,85,973,-1
260,19850410,69,1225,-1
260,19850411,65,538,54
260,19850412,60,342,60
260,19850413,75,820,130
260,19850414,70,591,81
260,19850415,81,1392,-1
260,19850416,99,818,12
260,19850417,101,1229,0
260,19850418,114,1496,0
260,19850419,127,2022,0
260,19850420,72,1452,-1
260,19850421,81,2278,0
260,19850422,90,2162,0
260,19850423,62,1280,-1
260,19850424,54,2261,0
260,19850425,45,1216,8
260,19850426,45,1582,-1
260,19850427,48,770,54
260,19850428,44,1732,33
260,19850429,52,1597,-1
260,19850430,68,694,-1
260,19850501,82,1332,20
260,19850502,57,852,52
260,19850503,69,663,-1
260,19850504,67,667,5
260,19850505,98,728,-1
260,19850506,139,1687,-1
260,19850507,156,1175,-1
260,19850508,162,1711,-1
260,19850509,112,1545,-1
260,19850510,95,372,1
260,19850511,115,1141,0
260,19850512,139,1826,128
260,19850513,131,1126,-1
260,19850514,133,666,-1
260,19850515,140,1726,0
260,19850516,159,1493,-1
260,19850517,156,2553,0
260,19850518,144,2250,0
260,19850519,163,2037,36
260,19850520,148,984,41
260,19850521,143,1166,86
260,19850522,111,557,2
260,19850523,95,498,-1
260,19850524,138,1427,-1
260,19850525,173,2025,0
260,19850526,204,2616,7
260,19850527,204,2453,0
260,19850528,154,2034,0
260,19850529,122,2785,0
260,19850530,135,3011,0
260,19850531,146,2842,0
260,19850601,168,2688,0
260,19850602,179,2971,0
260,19850603,194,2828,0
260,19850604,218,2690,51
260,19850605,151,450,6
260,19850606,150,919,18
260,19850607,134,1181,137
260,19850608,102,2025,3
260,19850609,110,1020,40
260,19850610,113,1598,11
260,19850611,124,1273,24
260,19850612,118,1446,115
260,19850613,112,1192,84
260,19850614,91,698,96
260,19850615,101,2245,-1
260,19850616,99,1555,23
260,19850617,124,2218,0
260,19850618,144,1649,0
260,19850619,146,894,28
260,19850620,135,818,52
260,19850621,143,1692,96
260,19850622,146,1536,29
260,19850623,132,1045,-1
260,19850624,142,1022,25
260,19850625,145,1787,10
260,19850626,125,825,70
260,19850627,128,1605,14
260,19850628,141,968,-1
260,19850629,144,591,4
260,19850630,162,1786,-1
260,19850701,163,1572,19
260,19850702,160,2171,0
260,19850703,185,2576,0
260,19850704,216,2762,0
260,19850705,224,2063,0
260,19850706,172,1949,-1
260,19850707,151,2422,0
260,19850708,151,1794,-1
260,19850709,167,1585,4
260,19850710,152,1779,0
260,19850711,171,2061,0
260,19850712,186,1791,0
260,19850713,216,2587,0
260,19850714,224,1942,-1
260,19850715,167,2032,-1
260,19850716,152,695,16
260,19850717,173,2363,0
260,19850718,172,1125,121
260,19850719,156,762,66
260,19850720,151,1642,15
260,19850721,148,2109,-1
260,19850722,157,307,59
260,19850723,167,1949,-1
260,19850724,181,2421,0
260,19850725,214,2355,0
260,19850726,190,508,46
260,19850727,177,1472,-1
260,19850728,179,903,140
260,19850729,168,1277,169
260,19850730,150,350,184
260,19850731,157,1035,-1
260,19850801,146,927,45
260,19850802,155,995,8
260,19850803,152,1617,31
260,19850804,142,1032,87
260,19850805,155,800,56
260,19850806,143,1969,-1
260,19850807,150,1750,8
260,19850808,167,1921,-1
260,19850809,191,1665,-1
260,19850810,144,1140,85
260,19850811,157,1660,4
260,19850812,158,2038,-1
260,19850813,181,2053,0
260,19850814,194,1616,150
260,19850815,161,1894,0
260,19850816,151,1104,18
260,19850817,135,723,207
260,19850818,150,1440,0
260,19850819,166,884,40
260,19850820,170,1036,17
260,19850821,171,1948,2
260,19850822,164,1114,51
260,19850823,154,928,-1
260,19850824,147,447,14
260,19850825,139,1580,9
260,19850826,130,844,18
260,19850827,140,1792,0
260,19850828,166,1993,0
260,19850829,185,1745,0
260,19850830,189,1872,0
260,19850831,177,720,36
260,19850901,153,1366,6
260,19850902,153,906,3
260,19850903,151,934,101
260,19850904,145,996,6
260,19850905,143,598,33
260,19850906,116,1565,15
260,19850907,115,1094,21
260,19850908,128,531,52
260,19850909,119,1679,0
260,19850910,131,1442,0
260,19850911,161,1057,0
260,19850912,174,1537,0
260,19850913,141,652,1
260,19850914,122,751,2
260,19850915,133,1254,38
260,19850916,132,605,34
260,19850917,166,238,39
260,19850918,151,555,0
260,19850919,174,1246,-1
260,19850920,149,345,3
260,19850921,166,845,0
260,19850922,167,418,77
260,19850923,157,980,0
260,19850924,142,717,-1
260,19850925,133,883,0
260,19850926,145,1122,0
260,19850927,140,1252,0
260,19850928,133,728,0
260,19850929,130,1405,0
260,19850930,150,1136,0
260,19851001,172,1266,0
260,19851002,173,872,-1
260,19851003,189,792,1
260,19851004,158,559,7
260,19851005,137,1034,0
260,19851006,141,1015,0
260,19851007,149,270,103
260,19851008,111,544,79
260,19851009,116,506,37
260,19851010,136,602,-1
260,19851011,140,207,-1
260,19851012,101,800,0
260,19851013,89,1059,0
260,19851014,117,762,-1
260,19851015,131,281,3
260,19851016,121,257,7
260,19851017,120,322,-1
260,19851018,113,125,-1
260,19851019,98,637,-1
260,19851020,77,790,0
260,19851021,77,994,0
260,19851022,70,882,0
260,19851023,75,884,0
260,19851024,70,990,0
260,19851025,47,849,0
260,19851026,35,761,0
260,19851027,29,151,-1
260,19851028,70,287,42
260,19851029,65,312,1
260,19851030,36,132,-1
260,19851031,25,90,-1
260,19851101,48,233,8
260,19851102,50,371,67
260,19851103,39,725,5
260,19851104,24,727,0
260,19851105,102,106,164
260,19851106,66,572,14
260,19851107,82,380,31
260,19851108,95,94,29
260,19851109,125,502,124
260,19851110,56,206,199
260,19851111,21,207,129
260,19851112,30,638,1
260,19851113,36,500,14
260,19851114,10,252,0
260,19851115,16,91,17
260,19851116,39,170,-1
260,19851117,10,383,0
260,19851118,-5,517,0
260,19851119,-28,253,-1
260,19851120,-27,165,0
260,19851121,0,115,3
260,19851122,0,70,-1
260,19851123,-10,80,21
260,19851124,-14,159,0
260,19851125,7,131,2
260,19851126,-2,101,14
260,19851127,13,89,52
260,19851128,3,363,10
260,19851129,0,374,8
260,19851130,8,86,26
260,19851201,84,267,-1
260,19851202,112,81,17
260,19851203,124,65,1
260,19851204,111,48,92
260,19851205,110,150,49
260,19851206,78,175,32
260,19851207,87,259,40
260,19851208,55,104,0
260,19851209,68,73,21
260,19851210,42,199,0
260,19851211,12,78,0
260,19851212,12,121,2
260,19851213,33,30,66
260,19851214,94,72,-1
260,19851215,107,89,-1
260,19851216,99,64,5
260,19851217,90,94,-1
260,19851218,84,54,35
260,19851219,67,280,-1
260,19851220,88,138,23
260,19851221,61,82,0
260,19851222,63,354,-1
260,19851223,58,139,3
260,19851224,58,59,12
260,19851225,80,171,12
260,19851226,48,31,359
260,19851227,-15,278,14
260,19851228,-43,221,0
260,19851229,-21,254,-1
260,19851230,-29,136,-1
260,19851231,-38,344,0
260,19860101,-28,99,0
